type_label,support_bin,count,mean
cross-linked,1,6863,0.016173684977415125
cross-linked,11+,2926,0.021872863978127138
cross-linked,2,3954,0.018715225088517955
cross-linked,3-5,5424,0.011061946902654867
cross-linked,6-10,3215,0.019284603421461897
loop-linked,1,632,0.011075949367088608
loop-linked,11+,91,0.0
loop-linked,2,279,0.007168458781362007
loop-linked,3-5,323,0.0030959752321981426
loop-linked,6-10,177,0.0
mono-linked,1,2130,0.010328638497652582
mono-linked,11+,642,0.004672897196261682
mono-linked,2,1098,0.012750455373406194
mono-linked,3-5,1569,0.0038240917782026767
mono-linked,6-10,811,0.0036991368680641184
